,title,company,rating,search_city,location,salary,age,summary
73,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
74,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
75,Edtech Project Manager (Learning Content),CENTURY Tech,,London,London WC1E,,14 days ago,"Who are we looking for?*.We are looking for an organised, creative project manager to oversee a new project within CENTURY.Graduated with a good degree."
76,Strategic Account Relationship Manager,Capgemini,3.8,London,London,,30+ days ago,The focus of your role.Our strategic account relationship managers will be crucial to make sure this happens.
77,Software Engineer Role,Moorfields Eye Hospital NHS Foundation Trust,4.0,London,London EC1V,"£44,347 - £50,549 a year",7 days ago,"In the context of the transformation program for the development of an Artificial Intelligence Hub within the Moorfields Reading Centre, key expertise in…"
78,Customer Support Associate,Echobox,,London,London,,30+ days ago,"We are looking for a Tech Support Manager to sit between our engineering and sales teams to predict, prevent and solve all customer product issues."
79,Epidemiologist,Babylon Health,2.7,London,London,"£45,000 - £50,000 a year",30+ days ago,What we expect from you?An advanced degree (MSc or PhD) in epidemiology or public health (with a focus and previous experience in epidemiological methods).
80,Operations Assistant,Echobox,,London,London,,30+ days ago,"You will work closely with our Head of Operations to help execute, streamline, and scale all business aspects of Echobox.Minimum 2.1 degree (or equivalent)."
81,SVP Betting Products,PERFORM Group,3.8,London,London,,30+ days ago,SVP Betting Products - (UK 3020).Job Title: SVP Betting Products.STATS Perform is looking for a proven SVP Betting Products in the Gaming and Sportsbook space…
82,Freelance web developer,Ality,,London,London,,Just posted,Experience building chatbots or artificial intelligence engines also beneficial.You’ll join our team of freelance developers currently costing of 3 individuals…
83,Design Applications Technician,Perkins+Will,,London,London E1,,30+ days ago,"Promote adoption of new technologies, including Virtual & Augmented Reality, Computational Design, Digital Fabrication, Machine Learning, Artificial…"
84,Senior Launch Manager (Head Office Based),The Chat Shop,2.6,London,,"£35,000 - £40,000 a year",13 days ago,"Experience in Artificial Intelligence, Machine Learning, and Natural Language Processing is a bonus.Remuneration: £35,000 - £40,000 (depending on experience)."
85,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
86,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
87,Operations Associate,Echobox,,London,London,,30+ days ago,Liaise with our accountants and compile monthly and quarterly Management Intelligence reports.You will work closely with our Head of Operations to help execute…
88,Verifiable Hardware Researcher,Google,4.3,London,London,,10 days ago,"From creating experiments and prototyping implementations to designing new architectures, Research Scientists work on real-world problems including artificial…"
89,Front End Engineer,Adarga,,London,London SE1,,30+ days ago,"We all know that the amount of unstructured data - emails, documents, social media, web content, images and video - is exploding."
90,Customer Insights Manager (London),Echobox,,London,London,,30+ days ago,You will work closely with our sales team to help meet the day to day business needs of Echobox.This includes supporting our Regional Directors with lead…
91,Management Consultant – Utilities Sector,Capgemini,3.8,London,London,,1 day ago,"The focus of your role.To meet the demands of both the regulators and increasingly savvy consumers, companies in the water industry across the UK are investing…"
